,named_color,count,rgb,rgb_tuple,hex
125,Black Shadows,3,"(191, 175, 178)","(191, 175, 178)",#bfafb2
126,Maximum Blue,2,"(48, 191, 191)","(48, 191, 191)",#30bfbf
127,Madder Lake,2,"(204, 51, 54)","(204, 51, 54)",#cc3336
128,Cadet Grey,2,"(145, 163, 176)","(145, 163, 176)",#91a3b0
129,Light Salmon,2,"(255, 160, 122)","(255, 160, 122)",#ffa07a
130,Light Periwinkle,2,"(197, 203, 225)","(197, 203, 225)",#c5cbe1
131,Light Cyan,2,"(224, 255, 255)","(224, 255, 255)",#e0ffff
132,Lavender Gray,2,"(196, 195, 208)","(196, 195, 208)",#c4c3d0
133,Lavender Blush,2,"(255, 240, 245)","(255, 240, 245)",#fff0f5
134,Lavender Blue,2,"(204, 204, 255)","(204, 204, 255)",#ccccff
135,Laurel Green,2,"(169, 186, 157)","(169, 186, 157)",#a9ba9d
136,Old Mauve,2,"(103, 49, 71)","(103, 49, 71)",#673147
137,Russian Violet,2,"(50, 23, 77)","(50, 23, 77)",#32174d
138,Vegas Gold,2,"(197, 179, 88)","(197, 179, 88)",#c5b358
139,Snow,2,"(255, 250, 250)","(255, 250, 250)",#fffafa
140,Slate Gray,2,"(112, 128, 144)","(112, 128, 144)",#708090
141,Seal Brown,2,"(89, 38, 11)","(89, 38, 11)",#59260b
142,Russet,2,"(128, 70, 27)","(128, 70, 27)",#80461b
143,Misty Moss,2,"(187, 180, 119)","(187, 180, 119)",#bbb477
144,Plump Purple,2,"(89, 70, 178)","(89, 70, 178)",#5946b2
145,Pink,2,"(255, 192, 203)","(255, 192, 203)",#ffc0cb
146,Pewter Blue,2,"(139, 168, 183)","(139, 168, 183)",#8ba8b7
147,Olivine,2,"(154, 185, 115)","(154, 185, 115)",#9ab973
148,Ocean Blue,2,"(79, 66, 181)","(79, 66, 181)",#4f42b5
149,Indian Red,2,"(205, 92, 92)","(205, 92, 92)",#cd5c5c
150,Dark Lavender,2,"(115, 79, 150)","(115, 79, 150)",#734f96
151,Dim Gray,2,"(105, 105, 105)","(105, 105, 105)",#696969
152,Bleu France,2,"(49, 140, 231)","(49, 140, 231)",#318ce7
153,Citrine,2,"(228, 208, 10)","(228, 208, 10)",#e4d00a
154,Bone,2,"(227, 218, 201)","(227, 218, 201)",#e3dac9
155,Black Coffee,2,"(59, 47, 47)","(59, 47, 47)",#3b2f2f
156,Celadon,2,"(172, 225, 175)","(172, 225, 175)",#ace1af
157,Carolina Blue,2,"(86, 160, 211)","(86, 160, 211)",#56a0d3
158,Banana Mania,2,"(250, 231, 181)","(250, 231, 181)",#fae7b5
159,Dodger Blue,2,"(30, 144, 255)","(30, 144, 255)",#1e90ff
160,Asparagus,2,"(135, 169, 107)","(135, 169, 107)",#87a96b
161,Granite Gray,2,"(103, 103, 103)","(103, 103, 103)",#676767
